5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026Predazzo (Trento) | Trentino-Alto Adige/Südtirol | Winter Duathlon Kids		Giovanile
GRAN PARADISO WINTER TRIATHLON | dal 24-01-2026 al 25-01-2026Cogne (Aosta) | Valle d'Aosta/Vallée d'Aoste | WinterTriathlon Classico
1° COPPA S. AGATA DUATHLON SUPER SPRINT | 01-02-2026Catania (Catania) | Sicilia | Duathlon Super Sprint
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026Alagna Valsesia (Vercelli) | Piemonte | Winter Duathlon Atipico		Giovanile
DUATHLON SPRINT DI BARZANO' | 22-02-2026Barzanò (Lecco) | Lombardia | Duathlon Sprint		Silver
SABAUDIA DUATHLON DI CARNEVALE VII EDIZIONE | 22-02-2026Sabaudia (Latina) | Lazio | Duathlon Kids		Giovanile
1° WINTER TRIATHLON MONTE BONDONE | 22-02-2026Trento (Trento) | Trentino-Alto Adige/Südtirol | WinterTriathlon
2026 WORLD TRIATHLON WINTER DUATHLON CHAMPIONSHIPS PADOLA | dal 27-02-2026 al 28-02-2026Comelico Superiore (Belluno) | Veneto | Winter Duathlon Sprint
DUATHLON NETIUM | 01-03-2026Binetto (Bari) | Puglia | Duathlon Kids		Giovanile
4° DUATHLON GIOVANILE SESTO FIORENTINO - YOUTH | 01-03-2026Sesto Fiorentino (Firenze) | Toscana | Duathlon Kids		Giovanile
DUATHLON SPRINT DI FORLÌ | 01-03-2026Forlì (Forlì) | Emilia-Romagna | Duathlon Miniduathlon		Giovanile
8 MUD DUATHLON MTB TELGATE | 01-03-2026Telgate (Bergamo) | Lombardia | Duathlon Super Sprint		Paratriathlon
2026 WORLD TRIATHLON WINTER CHAMPIONSHIPS PADOLA | 01-03-2026Comelico Superiore (Belluno) | Veneto | Triathlon Atipico		Giovanile
DUATHLON SPRINT DI PUNTA SECCA | dal 07-03-2026 al 08-03-2026Santa Croce Camerina (Ragusa) | Sicilia | Duathlon Kids		Giovanile
CAMPIONATO ITALIANO DUATHLON CROSS | 08-03-2026Spresiano (Treviso) | Veneto | Duathlon Super Sprint MTB		Giovanile
IX DUATHLON SPRINT CITTÀ DI FOLIGNO - MEMORIAL DANILO PASCUCCI - DUATHLON YOUTH - DUATHLON KIDS | 08-03-2026Foligno (Perugia) | Umbria | Duathlon Kids		Giovanile
DUATHLON SAN DAMIANO | 15-03-2026San Giorgio Piacentino (Piacenza) | Emilia-Romagna | Duathlon Sprint		Silver
1° DUATHLON SPRINT DI OSTIA "EGIDIO E FRANCESCO" | 15-03-2026Roma (Roma) | Lazio | Duathlon Sprint		Bronze
FREESTYLE CAMPIONATO REGIONALE DUATHLON DI CATEGORIA | 15-03-2026Ponte Buggianese (Pistoia) | Toscana | Duathlon Sprint		Silver
CAMPIONATI ITALIANI DUATHLON SPRINT - ASSOLUTI E U23 | 21-03-2026Imola (Bologna) | Emilia-Romagna | Duathlon Sprint		Bronze
CAMPIONATI ITALIANI DUATHLON SPRINT - AGE GROUP | 21-03-2026Imola (Bologna) | Emilia-Romagna | Duathlon Sprint		Bronze
CAMPIONATI ITALIANI PARADUATHLON SPRINT | 21-03-2026Imola (Bologna) | Emilia-Romagna | Duathlon Sprint		Bronze
CAMPIONATI ITALIANI DUATHLON STAFFETTA 2+2 | 22-03-2026Imola (Bologna) | Emilia-Romagna | Duathlon Staffetta
CAMPIONATI ITALIANI COPPA CRONO DUATHLON | 22-03-2026Imola (Bologna) | Emilia-Romagna | Duathlon Sprint
DUATHLON SPRINT DI IMOLA (GARA OPEN) | 22-03-2026Imola (Bologna) | Emilia-Romagna | Duathlon Sprint		Bronze
DUATHLON DELL'ECOLOGIA | 29-03-2026Viterbo (Viterbo) | Lazio | Duathlon Sprint		Silver
22° DUATHLON KIDS CONAD | 29-03-2026Parma (Parma) | Emilia-Romagna | Duathlon Kids		Giovanile Paratriathlon
3° DUATHLON CLASSICO SILVER NO DRAFT DEL LITORALE PISANO | 29-03-2026Pisa (Pisa) | Toscana | Duathlon Classico		Silver
ADRIATIC SERIES DUATHLON SPRINT TOLENTINO | 29-03-2026Tolentino (Macerata) | Marche | Duathlon Sprint		Silver
DUATHLON SPRINT CITTÀ DI SANTENA | 29-03-2026Santena (Torino) | Piemonte | Duathlon Sprint		Silver
1° DUATHLON DELLA LUNIGIANA | 29-03-2026Aulla (Massa) | Toscana | Duathlon Sprint		Bronze
22° DUATHLON SPRINT CITTA' DELLO ZAFFERANO | 29-03-2026San Gavino Monreale (Carbonia) | Sardegna | Duathlon Sprint		Silver
ASTICO DUATHLON 2026 | 29-03-2026Lugo di Vicenza (Vicenza) | Veneto | Duathlon Kids		Giovanile
CAMPIONATI ITALIANI DI DUATHLON CLASSICO NO DRAFT - ASSOLUTI - DI CATEGORIA - ELITE E AGE GROUP | 12-04-2026Pontoglio (Brescia) | Lombardia | Duathlon Classico		Gold
15 DUATHLON CITTÀ DI VIGEVANO | 12-04-2026Vigevano (Pavia) | Lombardia | Duathlon Youth		Giovanile
MANGIA'S TRIATHLON SICILY | 12-04-2026Sciacca (Agrigento) | Sicilia | Triathlon Sprint		Silver
4° DUATHLON DEL PIAVE | 12-04-2026San Donà di Piave (Venezia) | Veneto | Duathlon Sprint MTB		Bronze
